#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
switch_to_trade_tech_desc;Our country has under the past years come increasingly under the sway of select cliques of people who have all been educated at the same, or similar, elite business schools and companies. By supporting these groups, we can ensure that our academia's focus lies where it matters: in the fields of commerce and industry. This change will, however, come at the expense of other fields of research.;Depuis quelques années, notre pays est en proie à des groupes de personnes, notre pays qui ont toutes suivi le même enseignement au sein d'écoles commerciales et d'entreprises similaires. En soutenant ces groupes, nous pourrons veiller à ce que notre académie se concentre sur ce qui importe : les domaines du commerce et de l'industrie. Cependant, un tel changement s'opérera au détriment d'autres domaines de recherche.;Unser Land ist während der letzten Jahre zunehmend unter den Einfluss bestimmter Cliquen gekommen, die alle an denselben oder vergleichbaren Elite-Kaufmannsschulen und Firmen ausgebildet wurden. Durch die Unterstützung dieser Gruppen können wir dafür sorgen, dass unser akademischer Fokus da liegt, wo es wichtig ist: Auf Handel und Industrie. Dieser Wechsel wird aber auf die Kosten anderer Forschungsbereiche gehen.;;;;;;;;;;;
switch_to_industry_tech_title;Corporative Industrialism;Industrialisme corporatif;Kooperativer Industrialismus;;;;;;;;;;;
switch_to_industry_tech_desc;Capital and government in our country have, for some time, been doing their utmost to weave between them an intricate web of personal relations, that has increasingly come to assume the forms of a symbiotic relationship of mutual dependence. By further promoting these connections between the public and private spheres of our society, we can vastly increase our technological progress in the fields of industry, at the expense, however of research in other fields.;Depuis quelques temps, notre gouvernement s'est efforcé de tisser autour de lui un vaste réseau de relations qui ont, de plus en plus, pris la forme de relations symboliques de dépendance mutuelles. En poursuivant la promotion de ces relations entre les sphères publiques et privées de notre société, nous pourrons considérablement renforcer notre progression technologie dans les domaines de l'industrie, au détriment d'autres domaines de recherche.;Das Kapital und die Regierung unseres Landes haben schon seit einiger Zeit ihr Bestes gegeben, zwischen sich ein komplexes Netz persönlicher Beziehungen zu spinnen. Dieses nimmt nun mehr und mehr die Formen einer symbiotischen Beziehung gegenseitiger Abhängigkeit an. Durch die fortwährende Förderung dieser Verbindungen zwischen den öffentlichen und privaten Sphären unsere Gesellschaft können wir unsere technischen Fortschritte auf industriellem Gebiet stark beschleunigen, allerdings zu Lasten anderer Forschungsgebiete.;;;;;;;;;;;
switch_to_traditional_academic_title;Restore The Academia;Rétablir l'académie;Akademische Ausrichtung wiederherstellen;;;;;;;;;;;
switch_to_traditional_academic_desc;Many within our academic circles feel that the present direction of our academia suffers from an undue bias, and that we should return to a more traditional academic profile.;Nombreux sont les membres des cercles académiques à penser que l'orientation actuelle de notre académie fait l'objet d'injustes préjugés et qu'il serait préférable que nous réadoptions un profil académique plus classique.;Viele Angehörige unserer akademischen Kreise sind der Ansicht, dass unsere aktuelle akademische Ausrichtung unter unangemessenen Vorurteilen leidet, und dass wir zu einem traditionelleren akademischen Profil zurückkehren sollten.;;;;;;;;;;;
public_demand_title;…And So the People Wish;;;;;;;;;;;;;
public_demand_desc;The unrest in our country is growing. We are forced to recreate the Parliament.;;;;;;;;;;;;;
tanzimat_reforms_1_title;Enact the Tanzimat Reforms;;;;;;;;;;;;;
tanzimat_reforms_1_desc;The Tanzimat, meaning reorganization of the Ottoman Empire, was a period of reformation that was characterized by various attempts to modernize the Ottoman Empire, to secure its territorial integrity against nationalist movements and aggressive powers. The reforms encouraged Ottomanism among the diverse ethnic groups of the Empire, attempting to stem the tide of nationalist movements within the Ottoman Empire. The reforms attempted to integrate non-Muslims and non-Turks more thoroughly into Ottoman society by enhancing their civil liberties and granting them equality throughout the Empire.;;;;;;;;;;;;;
tanzimat_reforms_2_title;Extend the Tanzimat Reforms;;;;;;;;;;;;;
tanzimat_reforms_2_desc;The Tanzimat, meaning reorganization of the Ottoman Empire, was a period of reformation that was characterized by various attempts to modernize the Ottoman Empire, to secure its territorial integrity against nationalist movements and aggressive powers. The reforms encouraged Ottomanism among the diverse ethnic groups of the Empire, attempting to stem the tide of nationalist movements within the Ottoman Empire. The reforms attempted to integrate non-Muslims and non-Turks more thoroughly into Ottoman society by enhancing their civil liberties and granting them equality throughout the Empire.;;;;;;;;;;;;;
reclaim_macedonia_title;Reclaim Greece and Bulgaria;;;;;;;;;;;;;
reclaim_macedonia_desc;With all of Greece and Bulgaria under our control we can once again claim those lands to be legitimately ours.;;;;;;;;;;;;;
reclaim_kurdistan_title;Reclaim Iraq and Kurdistan;;;;;;;;;;;;;
reclaim_kurdistan_desc;With all of Iraq and Kurdistan under our control we can once again claim those lands to be legitimately ours.;;;;;;;;;;;;;
egypt_levant_title;Egyptian Levant;;;;;;;;;;;;;
egypt_levant_desc;Since the successful rebellion of the Zahiri, Egypt has become a beacon of light in the Arab World. With Al-Quds under our control and the European Powers acknowledging our power we can safely proclaim ourselves the Protector of the Arabs and expel the Turks from the Mashriq ! ;;;;;;;;;;;;;
unequal_treaty_CRO_title;AI only decision: Ottoman-Croatian dismantling;;;;;;;;;;;;;
unequal_treaty_CRO_desc;...;;;;;;;;;;;;;
unequal_treaty_HUN_title;AI only decision: Ottoman-Hungarian dismantling;;;;;;;;;;;;;
unequal_treaty_HUN_desc;...;;;;;;;;;;;;;
unequal_treaty_AZB_title;AI only decision: Ottoman-Azerbaijani dismantling;;;;;;;;;;;;;
unequal_treaty_AZB_desc;...;;;;;;;;;;;;;
freeSER_title;Liberation of Serbia;;;;;;;;;;;;;
freeSER_desc;Serbia is under our control. We have captured the forts along the Danube and penetrated deep into the Empire's territory. The Sultan will be forced to acknowledge our victory !;;;;;;;;;;;;;
cyrenaica_TUN_title;Hafsid Cyrenaica ;;;;;;;;;;;;;
cyrenaica_TUN_desc;We have successfully taken Cyrenaica from the Egyptian rebels. It is time to integrate it into our country.;;;;;;;;;;;;;
move_capital_to_ankara_title;Move Capital to Ankara;;;;;;;;;;;;;
move_capital_to_ankara_desc;Ankara is home to the Turkish national movement, and a more defensible location away from European enemies.;;;;;;;;;;;;;
form_UAR_title;Unite All the Arabian Nations;;;;;;;;;;;;;
form_UAR_desc;Under the long oppression by the Ottoman Empire the Arabians suffered. Now we stand united against the enemies of Islam once again!;;;;;;;;;;;;;
claim_ethiopia_title;Project our Influence in Abyssinian Lands;;;;;;;;;;;;;
claim_ethiopia_desc;Our Empire now stretches from Damascus to Tripoli, from Jerusalem to Mecca, from Ryiadh to Cairo. We can use our power and exert it over the weak kingdom of Ethiopia, that resisted many Funj invasions, but had to kneel before us.;;;;;;;;;;;;;
move_capital_to_cairo_title;To Cairo!;;;;;;;;;;;;;
move_capital_to_cairo_desc;Cairo was the capital of the Fatimid, Ayyubid and Mamluk caliphate from 969 to the 16th century when it was conquered by the Ottoman Empire that moved the center to Istanbul. Let's return the former glory to this ancient city!;;;;;;;;;;;;;
take_egyptian_desert_title;Take the Egyptian Desert;;;;;;;;;;;;;
take_egyptian_desert_desc;We can take the Egyptian Desert.;;;;;;;;;;;;;
take_cyrenaican_desert_title;Take the Cyrenaican Desert;;;;;;;;;;;;;
take_cyrenaican_desert_desc;We can take the Cyrenaican Desert.;;;;;;;;;;;;;
take_tripolitanian_desert_title;Take the Tripolitanian Desert;;;;;;;;;;;;;
take_tripolitanian_desert_desc;We can take the Tripolitanian Desert.;;;;;;;;;;;;;
take_lybian_desert_title;Take the Lybian Desert;;;;;;;;;;;;;
take_lybian_desert_desc;We can take the Lybian Desert.;;;;;;;;;;;;;
take_nubian_desert_title;Take the Nubian Desert;;;;;;;;;;;;;
take_nubian_desert_desc;We can take the Nubian Desert.;;;;;;;;;;;;;
take_iraqi_desert_title;Take the Iraqi Desert;;;;;;;;;;;;;
take_iraqi_desert_desc;We can take the Iraqi Desert.;;;;;;;;;;;;;
take_yemenit_desert_title;Take the Yemeni Desert;;;;;;;;;;;;;
take_yemenit_desert_desc;We can take the Yemeni Desert.;;;;;;;;;;;;;
take_omanese_desert_title;Take the Omani Desert;;;;;;;;;;;;;
take_omanese_desert_desc;We can take the Omani Desert.;;;;;;;;;;;;;
take_nejd_desert_title;Take the Nejd Desert;;;;;;;;;;;;;
take_nejd_desert_desc;We can take the Nejd Desert.;;;;;;;;;;;;;
take_hail_desert_title;Take the Hail Desert;;;;;;;;;;;;;
take_hail_desert_desc;We can take the Hail Desert.;;;;;;;;;;;;;
take_jordan_desert_title;Take the Jordan Desert;;;;;;;;;;;;;
take_jordan_desert_desc;We can take the Jordan Desert.;;;;;;;;;;;;;
take_middle_desert_title;Take the Middle Desert;;;;;;;;;;;;;
take_middle_desert_desc;We can take the Middle Desert.;;;;;;;;;;;;;
United_syria_title;Syrian minorities;;;;;;;;;;;;;
United_syria_desc;Greater Syria encompasses many cultures : the Arabs may be the more numerous but the Levant has several communities due to its status of crossroads. Currently the Druze and Syriac minorities are discrimanited despite them being an integral part of the Syrian people. We can remedy to this problem but it will alienate the most religious.;;;;;;;;;;;;;
Kurds_Assyria_title;Assyrians and Kurdistan;;;;;;;;;;;;;
Kurds_Assyria_desc;The biggest minority in our state is the Christian Chaldean community, often named the Assyrians. Kurds and Assyrians have a long past of infightings, more often because of the Kurds than the latter. But as the rule of law becomes even more important in Kurdistan relations between both communities have become to improve and it seems that the Assyrians could really become an integral part of the new Kurdistan.;;;;;;;;;;;;;
claim_the_desert_title;Claim the Sahara;;;;;;;;;;;;;
claim_the_desert_desc;The Sahara is immense and empty and forms a perfect frontier for our nation. However we should claim it before other nations take control of it !;;;;;;;;;;;;;
claim_the_west_desert_title;The Western Sahara;;;;;;;;;;;;;
claim_the_west_desert_desc;With our control of Morocco complete we should claim the western Sahara lands before any imperialists try to take control of these lands !;;;;;;;;;;;;;
claim_tripoli_title;Claim Tripolitania;;;;;;;;;;;;;
claim_tripoli_desc;With Maghreb under our control, we have to take control of Tripolitania to protect our brothers from the Imperialists !;;;;;;;;;;;;;
organize_mauretania_title;Organize Mauretania;;;;;;;;;;;;;
organize_mauretania_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule-- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;
organize_numidia_title;Organize Numidia;;;;;;;;;;;;;
organize_numidia_desc;Now that the Magrebi tribes were defeated we should reorganize our Maghrebi territories in a new colony. We must create the proper structures, so that it stands on par with our other national states.;;;;;;;;;;;;;
