;;;;;;;;;;;;;;x                                          
124215.D;Etruria is far from being respected amongst the European powers and it has thus been hard for them to appear as the obvious leader of the Italians.;;;;;;;;;;;;x
124216.T;Anglois bribes;;;;;;;;;;;;x
124216.D;Since their conquest of Provence the Dual-Monarchy has been interested in creating an Italian state favorable to their interests. Recently we have heard that some members of the Council would have changed their stance following 'gifts' from Paris, thus hampering our progess toward Italian unity.;;;;;;;;;;;;x
124217.T;Eturian greatness;;;;;;;;;;;;x
124217.D;Etruria is respected as a Great Power in Europe and thus appear as the natural leader of the Risorgimento.;;;;;;;;;;;;x
Andagoya1.T;Debates in the Congress;;;;;;;;;;;;x
Andagoya1.D;The Congress that opened to decide the future of Gran Colombia is divided into three great tendencies : Miranda and the united Colombians want the current situation to endure and Spaniards to take over the New-World, Granadans separatists want to leave the Federation thinking Mexico has taken too much power and finally the Federalistas want to return to smaller republics and end Mexican hegemony over Lusitanians and Salvadorians.;;;;;;;;;;;;x
Andagoya2.T;Trouble in the streets;;;;;;;;;;;;x
Andagoya2.D;Nobody knows how it exactly happened and who started these events but Salvadorians and Granadans have begun fights in Andagoya City. The Congress must decide who to support and who to blame. Punishing the Granadan leaders will help the Granadan cause while condemning the Salvadorians would help the cause of the Federalistas;;;;;;;;;;;;x
Andagoya3.T;Support of the Church;;;;;;;;;;;;x
Andagoya3.D;The Catholic Church has issued a decalration supporting the Union of all good Hispanic catholics into a single country, fearing that division would only lead to successes of liberals, atheists and Quechua pagans.;;;;;;;;;;;;x
Andagoya4.D;Even in the Church there exists division... The bishops of Granada have decided to support the Granadan independentists criticizing the power the Mexicans have accumulated.;;;;;;;;;;;;x
Andagoya5.D;The dissensions amongst the Hispanic peoples are perceived even in the Roman Catholic Church! The archbishops stand divided, each supporting the local nationalists and refusing to allow Mexico to gain even more weight.;;;;;;;;;;;;x
Andagoya6.T;The Colombian Army;;;;;;;;;;;;x
Andagoya6.D;Now that the war has ended many are questioning the role the Army should have in our state. The Tetrarchy of generals might have been a necessary evil but many Liberals fear that letting them keep some power will only only lead to coup d'Etats and could also lead ambitious men to secure personal power...;;;;;;;;;;;;x
Andagoya7.T;The status of Indios;;;;;;;;;;;;x
Andagoya7.D;The native people have been freed from the previous colonial system of encomienda and castas but they are now asking for more power and representation in the state. Gran Colombia was founded as an Hispanic country and critics would fall down on the government if privileges were given to the 'Indios' and could potentially lead to the death of the Colombian Dream.;;;;;;;;;;;;x
Andagoya8.T;Abolition of Slavery;;;;;;;;;;;;x
Andagoya8.D;Slavery is a widespread pratice throughout Gran Colombia with Afro-Latino representing the second ethnic group in the Federation. It is also vital for the haciendas held by great landowners but also heavily criticized by many liberals who have decided to debate the issue in the Congress.;;;;;;;;;;;;x
VAL30.T;Installation of a sister-republic;;;;;;;;;;;;x
VAL30.D;The Etrurians have captured Toulon and proclaimed the dissolution of the monarchy!;;;;;;;;;;;;x
VAL31.T;Enforcing our rule in Provence;;;;;;;;;;;;x
VAL31.D;The new Occitan Republic will be loyal to us!;;;;;;;;;;;;x
VAL32.T;Trial of Philippe;;;;;;;;;;;;x
VAL32.D;When we took Toulon we also captured the Duke of Provence, the heir of the tyrans we fought and pretender to the Grand-Duchy. We tried to make him abdicate all claims on Tuscany, Provence and France but he is stubborn, refusing to deal with us. It leaves us in a problematic situation. Many in Etruria want to see him test the Fallschwermaschine after a 'fair trial' but it would also offense most of European monarchies ... ;;;;;;;;;;;;x
VAL33.T;Riot of Avignon;;;;;;;;;;;;x
VAL33.D;Yesterday a riot erupted in Avignon after a zealous Etrurian commissar had killed 'an enemy of the Revolution' without trial. Dissent against Italians is growing in our Republic...;;;;;;;;;;;;x
VAL34.D;Yesterday a riot erupted in Avignon after a zealous Etrurian commissar had killed 'an enemy of the Revolution' without trial. Our supervizion of the new republic is increasing the dissent amongst the common man who doesn't understand why we are still here. We could let the new Occitan government handle their destiny and just stay as their allies or we could enforce our law, a situation which could lead to even more riots and dissent... ;;;;;;;;;;;;x
VAL34.T;Riot of Avignon ;;;;;;;;;;;;x
VAL35.T;The Occitan problem;;;;;;;;;;;;x
VAL35.D;We were happy when the Valois were removed from their throne in Tolon but we might face growing problems in our Southern provinces because of the Occitan Republic proclaimed by the Etrurians. The Republic is still disorganized, as the Avignon riots proved so it might be easy to annex Provence without complications...;;;;;;;;;;;;x
VAL36.T;An Anglois proposal;;;;;;;;;;;;x
VAL36.D;The Dual-Monarchy has been alarmed by the creation of the Occitan Republic and they have let us know that they would like our Foreign Minister to go to Lyon where we could negotiate what we'd gain in exchange of letting Marseille on its own ...;;;;;;;;;;;;x
VAL37.T;Deal with the Devil ;;;;;;;;;;;;x
VAL37.D;The Etrurians have accepted to let us deal with Marseille as we please in exchange of a promise of non-intervention in Italy, should Etruria be in a position to unify the Peninsula.;;;;;;;;;;;;x
VAL38.T;Deal with the Devil;;;;;;;;;;;;x
VAL38.D;We have betrayed the Occitan but in exchange gained a promise of non-intervention by the Anglois government. Let us hope it will serve us...;;;;;;;;;;;;x
VAL39.T;The Anglois threat;;;;;;;;;;;;x
VAL39.D;We have been left on our own by Florence! Anglois armies have assembled and sent us an ultimatum demanding our immediate surrender!;;;;;;;;;;;;x
VAL40.T;Response from Marseilles;;;;;;;;;;;;x
VAL40.D;The Occitan won't back down. What we won't get by diplomacy, we'll get it by war!;;;;;;;;;;;;x
VAL41.T;Anglois ultimatum;;;;;;;;;;;;x
VAL41.D;The Anglois government has decided to erase the Occitan republic from the map! Now we must choose, either to fight in an already-lost war or leave and appear as cowards!;;;;;;;;;;;;x
JAP.20T;Nanshin-Ron;;;;;;;;;;;;x
JAP.20D;The Ming dynasty has failed to reclaim the Mandate of Heaven and is now isolated on the island of Takasogu Koku. It is our duty to end their petty rule on the island and integrate it into our country as a model colony. It will be the first step in our Southern Expansion.;;;;;;;;;;;;x
JAP22.T;Pacifying the Christianians;;;;;;;;;;;;x
JAP22.D;The Tondo kingdom has been in our way for too much longer, and constitutes a haven for the opponents to our rule in Christinia and the other Spice islands.;;;;;;;;;;;;x
JAP23.T;Pursuing South;;;;;;;;;;;;x
JAP23.D;We have acquired the rich Northern Tagalog islands in the South but our rule is challenged by the tribal kingdom of Tondo. It is time we end their independence and add them to our colonies!;;;;;;;;;;;;x
JAP24.T;Claiming the Pacific islands;;;;;;;;;;;;x
JAP24.D;The Bonin islands are too close of the Home Islands to be let in the hands of the gaijin. With our navy reknowned in these seas our claim will easily be recognized!;;;;;;;;;;;;x
accepting_athesia_title;Accepting the Athesians;;;;;;;;;;;;x
accepting_athesia_desc;The Venitian colonists who settled in Athesia have been restless since our takeover of the peninsula. Many share the same values as other Arcadians and if we make the right efforts they will be integrated without problems!;;;;;;;;;;;;x
accepting_caribenos_title;The Caribenos;;;;;;;;;;;;x
accepting_caribenos_desc;The island of Kuba has seen the local settlers develop differently from both the Colombians and the Spanish. The island being in the center of the Caribbean Sea has seen countless traders land in Habana and Santiago and the local plantations are still profitable. Thus it could be easy to ensure our rule on the island by recognizing some autonomy and make the locals accept our rule.;;;;;;;;;;;;x
accepting_ayitians_title;Control of the Sudurhafeyjar;;;;;;;;;;;;x
accepting_ayitians_desc;The Southern Islands, as they are called in Scandinavian, are home to an important population, one that has grown restless since our occupation of the islands began. They share many similarities with us and with the proper mesures taken we can easily make them accept our rule!;;;;;;;;;;;;x
integrate_rhineland_title;Integration of the Rhine;;;;;;;;;;;;x
integrate_rhineland_desc;With our state controlling most of the Rhine region we have gained the support of the locals! Fur die Vaterland!;;;;;;;;;;;;x
integrate_elbe_title;Integration of the North;;;;;;;;;;;;x
integrate_elbe_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in North Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;x
integrate_south_title;Integration of the South;;;;;;;;;;;;x
integrate_south_desc;Our quest towards the integration of Germany has seen our state gaining the control of many territories in South Germany. With our hold secured on these areas we can surely gain the approval and cooperation of the locals!;;;;;;;;;;;;x
Western_border_treaty_title;Push to the West;;;;;;;;;;;;x
Western_border_treaty_desc;The unification of Arcadia has led to a great increase of immigrants arriving in our ports. The tension between the former hostile communities of the continent is not helping the new people to integrate efficiently in our country. Thus it was proposed to claim all territories which are currently not fully settled by the Sanbao government in exchange of a generous subsidy.;;;;;;;;;;;;x
DNGARC3.D;Qingqiu has refused to give up their territories!;;;;;;;;;;;;x
DNGARC3.T;Refusal of Sanbao;;;;;;;;;;;;x
DNGARC2.D;The Arcadian star is growing like no ever state did in the New-World. The influx of migrants is impressive and they have offered to buy at a reasonable price all the territories we possess in the Rockies. It would be sad to give up all this territory we have acquired at the cost of many lives but can we face the full might of Arcadia ?;;;;;;;;;;;;x
DNGARC2.T;Abandoning our new territories.;;;;;;;;;;;;x
DNGARC1.D;With out claims fully staked we can now ask Sanbao to relinquish all of our rightful territory.;;;;;;;;;;;;x
DNGARC1.T;Claiming the Rocky Mountains;;;;;;;;;;;;x
DNGARC4.T;The treaty of Sanbao;;;;;;;;;;;;x
DNGARC4.D;The Qingqiuan government has accepted the proposal of the Arcadian government and has relinquished all their claims outside their core territories on the West Coast of Arcadia. Many hope it will be sufficient to stop the greed for land of the new continental power...;;;;;;;;;;;;x
